q_V165,kprod_R2,Secretion,Internalization,Lymphatic_drainage,Permeability
0.027,1.4e-17,6.87663954839781e-18,-3.63523257849305e-19,-6.51279741849825e-18,3.18825447371749e-22
0.27,1.4e-17,6.87663954839781e-17,-3.56944033538233e-18,-6.51952827064963e-17,1.67081717275239e-21
0.27,1.4e-16,6.87663954839781e-17,-5.26012071211583e-18,-6.35004177042779e-17,5.85693143153955e-21
0.27,1.4e-15,6.87663954839781e-17,-1.59877937929784e-17,-5.27698834503883e-17,8.71824264659453e-21
0.27,1.4e-14,6.87663954839781e-17,-4.9005761630137e-17,-1.97569169498577e-17,3.71691666831845e-21
1,1.4e-17,2.54690353644363e-16,-1.25783419407451e-17,-2.42111766265232e-16,2.3303878275235e-22
1,1.4e-16,2.54690353644363e-16,-1.88600266565564e-17,-2.35815073731525e-16,1.52507496081005e-20
1,1.4e-15,2.54690353644363e-16,-5.79120889538478e-17,-1.96746065029099e-16,3.21996514444694e-20
1,1.4e-14,2.54690353644363e-16,-1.80923093524468e-16,-7.37533833625481e-17,1.3876801942016e-20
10,1.4e-17,2.54690353644363e-15,-1.04254912980619e-16,-2.44309224132119e-15,-4.46285420457184e-19
10,1.4e-16,2.54690353644363e-15,-1.36799705420082e-16,-2.41051958817145e-15,-4.1804651145927e-19
10,1.4e-15,2.54690353644363e-15,-4.5004231104486e-16,-2.09663053631635e-15,2.30662594640999e-19
10,1.4e-14,2.54690353644363e-15,-1.73586467376198e-15,-8.10886151527318e-16,1.52711406201796e-19
100,1.4e-17,2.54690353644363e-14,-6.70976669735204e-16,-2.49620753430609e-14,-1.6765112339263e-16
100,1.4e-16,2.54690353644363e-14,-6.96649719123352e-16,-2.49335429910218e-14,-1.64716750759396e-16
100,1.4e-15,2.54690353644363e-14,-1.31705523191777e-15,-2.42815020231533e-14,-1.32151772320866e-16
100,1.4e-14,2.54690353644363e-14,-1.02480138866188e-14,-1.52182824626476e-14,2.7390119945867e-18
0.027,1.4e-16,6.87663954839781e-18,-5.31839607281568e-19,-6.34417135173182e-18,6.28579817574191e-22
0.027,1.4e-15,6.87663954839781e-18,-1.61074202994685e-18,-5.26502513674745e-18,8.72382089119098e-22
0.027,1.4e-14,6.87663954839781e-18,-4.90576157973014e-18,-1.9705072663021e-18,3.70703656197717e-22
