q_V165,kprod_R2,Secretion,Internalization,Lymphatic_drainage,Permeability
0.027,1.4e-17,6.87663954839781e-18,-6.62406286328192e-18,-1.55592996046785e-20,2.24618462144251e-19
0.027,1.4e-16,6.87663954839781e-18,-6.71784341334545e-18,-1.02754054530689e-20,1.4831837434276e-19
0.027,1.4e-15,6.87663954839781e-18,-6.83295958929692e-18,-2.82936934463538e-21,4.08506674675218e-20
0.027,1.4e-14,6.87663954839781e-18,-6.87126213388521e-18,-3.48462579405653e-22,5.02895854440737e-21
0.27,1.4e-17,6.87663954839781e-17,-6.53687490405993e-17,-1.84779422960239e-19,2.67071881596762e-18
0.27,1.4e-16,6.87663954839781e-17,-6.68544181358312e-17,-1.20561538116154e-19,1.74649318282825e-18
0.27,1.4e-15,6.87663954839781e-17,-6.83103972570982e-17,-2.95096213810472e-20,4.26490245216657e-19
0.27,1.4e-14,6.87663954839781e-17,-6.87123364151441e-17,-3.50267844283846e-21,5.05564570792911e-20
1,1.4e-17,2.54690353644363e-16,-2.38069747656375e-16,-7.91770187771685e-19,1.14488644421262e-17
1,1.4e-16,2.54690353644363e-16,-2.40888042471139e-16,-6.71830522021136e-19,9.79214955956772e-18
1,1.4e-15,2.54690353644363e-16,-2.5274747839106e-16,-1.25360355443243e-19,1.81756282256505e-18
1,1.4e-14,2.54690353644363e-16,-2.54486904407334e-16,-1.31775312358849e-20,1.90271959478964e-19
10,1.4e-17,2.54690353644363e-15,-1.49386216454736e-15,-1.94395923798032e-17,2.83429293824447e-16
10,1.4e-16,2.54690353644363e-15,-1.50778856234852e-15,-1.91995455573596e-17,2.80129305807426e-16
10,1.4e-15,2.54690353644363e-15,-1.76902067449957e-15,-1.41154262503018e-17,2.10189420780362e-16
10,1.4e-14,2.54690353644363e-15,-2.54440167916563e-15,-1.61348537689553e-19,2.34051267964117e-18
100,1.4e-17,2.54690353644363e-14,-1.95716963953366e-15,-5.28189851297905e-16,7.07967807853511e-15
100,1.4e-16,2.54690353644363e-14,-2.0443531050351e-15,-5.26466933461029e-16,7.06300310769666e-15
100,1.4e-15,2.54690353644363e-14,-2.96329377587423e-15,-5.06358201226499e-16,6.87356525850546e-15
100,1.4e-14,2.54690353644363e-14,-1.42688589658861e-14,-2.19969192457466e-16,3.30027846755814e-15
