q_V165,kprod_R2,Secretion,Internalization,Lymphatic_drainage,Permeability
0.027,1.4e-17,6.87663954839781e-18,-3.6868912026425e-18,-3.07223038004892e-18,1.17443333176444e-19
0.027,1.4e-16,6.87663954839781e-18,-4.37898476767252e-18,-2.40465002627716e-18,9.3004896266575e-20
0.027,1.4e-15,6.87663954839781e-18,-5.95208198845762e-18,-8.89576067627767e-19,3.49815283970288e-20
0.027,1.4e-14,6.87663954839781e-18,-6.74816322943904e-18,-1.23592607935763e-19,4.88371767128392e-21
0.27,1.4e-17,6.87663954839781e-17,-3.44685554795219e-17,-3.30371235106638e-17,1.25600394987311e-18
0.27,1.4e-16,6.87663954839781e-17,-4.21745946049108e-17,-2.56016597367536e-17,9.89982300356252e-19
0.27,1.4e-15,6.87663954839781e-17,-5.92238901899964e-17,-9.18121537237193e-18,3.61290454506478e-19
0.27,1.4e-14,6.87663954839781e-17,-6.74752085913132e-17,-1.24209986775518e-18,4.90870918349511e-20
1,1.4e-17,2.54690353644363e-16,-1.19788074606869e-16,-1.2996148690665e-16,4.90939688392312e-18
1,1.4e-16,2.54690353644363e-16,-1.38529853821312e-16,-1.11836611609371e-16,4.30756342343054e-18
1,1.4e-15,2.54690353644363e-16,-2.15687391899028e-16,-3.75232831909126e-17,1.47968490011716e-18
1,1.4e-14,2.54690353644363e-16,-2.49835437887678e-16,-4.67028147730229e-18,1.84634532374505e-19
10,1.4e-17,2.54690353644363e-15,-8.37378591516896e-16,-1.64787456313526e-15,5.93623313629681e-17
10,1.4e-16,2.54690353644363e-15,-8.56213079052902e-16,-1.62952754862637e-15,5.89115355405945e-17
10,1.4e-15,2.54690353644363e-15,-1.33200744622849e-15,-1.16716847645655e-15,4.62800796517001e-17
10,1.4e-14,2.54690353644363e-15,-2.48796418500803e-15,-5.66882721799472e-17,2.25108278586034e-18
100,1.4e-17,2.54690353644363e-14,-1.80281741610817e-15,-2.3353758444897e-14,1.10005801673786e-16
100,1.4e-16,2.54690353644363e-14,-1.83206361571927e-15,-2.33194429009527e-14,1.17787099753603e-16
100,1.4e-15,2.54690353644363e-14,-2.29737762362385e-15,-2.27932098512023e-14,2.08609137733541e-16
100,1.4e-14,2.54690353644363e-14,-1.38562518715492e-14,-1.11433214226906e-14,4.55972294120518e-16
