q_V165,kprod_R2,Secretion,Internalization,Lymphatic_drainage,Permeability
0.027,1.4e-17,6.87663954839781e-18,-1.45501288227503e-18,-8.49479411761933e-20,1.20280406152658e-18
0.027,1.4e-16,6.87663954839781e-18,-6.03777715964322e-18,-3.30660483620015e-20,4.7675335592114e-19
0.027,1.4e-15,6.87663954839781e-18,-6.82086347630784e-18,-3.61255943323788e-21,5.21636564410485e-20
0.027,1.4e-14,6.87663954839781e-18,-6.87097933214843e-18,-3.66803932914512e-22,5.29341927284519e-21
0.27,1.4e-17,6.87663954839781e-17,-7.77763978981982e-18,-8.96556105159127e-19,1.26843810655591e-17
0.27,1.4e-16,6.87663954839781e-17,-5.17722391928481e-17,-4.27654094188161e-19,6.19028390115305e-18
0.27,1.4e-15,6.87663954839781e-17,-6.8182707538862e-17,-3.7767438646129e-20,5.45925076552864e-19
0.27,1.4e-14,6.87663954839781e-17,-6.87095375094616e-17,-3.68424698257041e-21,5.31737977203767e-20
1,1.4e-17,2.54690353644363e-16,-1.16419038140516e-17,-3.49202601265009e-18,4.93105367859127e-17
1,1.4e-16,2.54690353644363e-16,-1.07754526014574e-16,-2.38338986834423e-18,3.44637511314637e-17
1,1.4e-15,2.54690353644363e-16,-2.52179327224525e-16,-1.61966462813464e-19,2.34923332179448e-18
1,1.4e-14,2.54690353644363e-16,-2.54476870815465e-16,-1.38289243355706e-20,1.99654171731643e-19
10,1.4e-17,2.54690353644363e-15,-1.37548652965147e-17,-3.92777208278346e-17,5.52445348320698e-16
10,1.4e-16,2.54690353644363e-15,-1.37417590632938e-16,-3.72686078471314e-17,5.26993174575959e-16
10,1.4e-15,2.54690353644363e-15,-1.34936236458225e-15,-1.87954188659114e-17,2.79610209759923e-16
10,1.4e-14,2.54690353644363e-15,-2.54433395161773e-15,-1.65784256771305e-19,2.4038047028995e-18
100,1.4e-17,2.54690353644363e-14,-1.39840487918571e-17,-5.80176129127042e-16,7.47003893993654e-15
100,1.4e-16,2.54690353644363e-14,-1.39839487038045e-16,-5.76678098127379e-16,7.44552272631186e-15
100,1.4e-15,2.54690353644363e-14,-1.39828834407574e-15,-5.41950050112781e-16,7.19256352712991e-15
100,1.4e-14,2.54690353644363e-14,-1.39578021541766e-14,-2.25565487975492e-16,3.38416876696353e-15
