q_V165,kprod_R2,time,blood.V165,blood.Mecm,blood.Mebm,blood.Mpbm,blood.R1,blood.R2,blood.N1,blood.N2,blood.Mecm_V165,blood.Mebm_V165,blood.Mpbm_V165,blood.R1_V165,blood.R2_V165,blood.N1_V165,blood.N2_V165,blood.R2_V165_N1,blood.R2_V165_N2,blood.R1_N1,blood.R1_N2,blood.Mebm_V165_R1,blood.Mebm_V165_R2,main.V165,main.Mecm,main.Mebm,main.Mpbm,main.R1,main.R2,main.N1,main.N2,main.Mecm_V165,main.Mebm_V165,main.Mpbm_V165,main.R1_V165,main.R2_V165,main.N1_V165,main.N2_V165,main.R2_V165_N1,main.R2_V165_N2,main.R1_N1,main.R1_N2,main.Mebm_V165_R1,main.Mebm_V165_R2,primary.V165,primary.Mecm,primary.Mebm,primary.Mpbm,primary.R1,primary.R2,primary.N1,primary.N2,primary.Mecm_V165,primary.Mebm_V165,primary.Mpbm_V165,primary.R1_V165,primary.R2_V165,primary.N1_V165,primary.N2_V165,primary.R2_V165_N1,primary.R2_V165_N2,primary.R1_N1,primary.R1_N2,primary.Mebm_V165_R1,primary.Mebm_V165_R2
0.027,1.4e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027,1.4e-17,60,1.40462572971902e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13917157125224e-17,2.14999413130282e-11,1.9999945186936e-12,1.9999945407468e-11,2.05179384896634e-15,7.77595371644999e-16,4.6299740187761e-14,4.63009125537741e-14,5.86869718553844e-17,5.42791607994595e-18,5.45925319584968e-17,7.67426555924717e-19,4.22472702715366e-20,1.78444762958859e-18,5.71120727423553e-19,2.9326615912537e-20,1.60628477159816e-20,3.6952858721933e-15,3.69534457627671e-15,5.00882605864497e-20,3.30205915885032e-21,3.08608070075277e-16,2.14999508903737e-11,1.99999542661592e-12,1.99999543166268e-11,2.84438278185074e-15,7.77623091228143e-16,4.6696234865974e-14,4.66972958547607e-14,4.91096262614247e-17,4.56123410439975e-18,4.56833732664418e-17,8.87519509237819e-19,4.48619442825303e-20,1.60913138123547e-18,5.14981229198907e-19,1.78291234235564e-20,1.01328836765412e-20,3.29898265261823e-15,3.29902589389902e-15,1.15088477864849e-20,6.41117644843112e-22
0.027,1.4e-17,120,3.65157726149804e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62064935672757e-17,2.14998733166982e-11,1.99998815636547e-12,1.99998821550679e-11,1.43003431170722e-15,1.44207493333238e-15,8.47187146068042e-14,8.47240636907416e-14,1.26683301882138e-16,1.16879256200127e-17,1.17844931983384e-16,8.96091057868957e-19,9.33075178929513e-20,7.91367919430813e-18,2.53375237296326e-18,3.1431662011354e-19,1.43868756868647e-19,8.04521173467699e-15,8.045533237526e-15,1.34090411439837e-19,2.16184836736775e-20,5.17472475547834e-16,2.14998586160099e-11,1.99998682830332e-12,1.99998684800094e-11,2.01540486351822e-15,1.44215706986999e-15,8.50105872780451e-14,8.50168526109788e-14,1.41383989969101e-16,1.31214405942398e-17,1.31519990668932e-16,1.48092505518404e-18,1.41462294110565e-19,9.38348573205741e-18,3.00398004571335e-18,2.59401811102868e-19,1.25688979453156e-19,7.75198030052613e-15,7.7523152273835e-15,4.45491959250664e-20,5.70687575420597e-21
0.027,1.4e-17,180,6.42195010990093e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96289585708539e-17,2.1499809330571e-11,1.99998217752998e-12,1.99998226330892e-11,1.24198557503415e-15,2.00847795460011e-15,1.17754336469005e-13,1.17767220068114e-13,1.90669428996783e-16,1.75585337600556e-17,1.77366910694681e-16,9.71345341326684e-19,1.3925886093548e-19,1.81597584609803e-17,5.81619276218802e-18,1.13526526097423e-18,4.69335077687146e-19,1.15947112859537e-14,1.159555989779e-14,2.05813612560145e-19,5.81226289242438e-20,6.93134297492513e-16,2.14997576399705e-11,1.99997742090915e-12,1.999977454881e-11,1.75685765196122e-15,2.00855280776417e-15,1.18007036094894e-13,1.18023814201509e-13,2.42360029313687e-16,2.24798283405791e-17,2.25451190059246e-16,1.8092379851211e-18,2.36328068079462e-19,2.44016294943614e-17,7.81423244101014e-18,1.06256770912976e-18,4.61162828810313e-19,1.13360011729228e-14,1.13370207665119e-14,8.15717497641025e-20,1.76907454665203e-20
0.027,1.4e-17,240,9.61871142359954e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17847225508415e-17,2.14997500164503e-11,1.9999766385485e-12,1.99997674571629e-11,1.1497325432547e-15,2.48931932382066e-15,1.46045841959277e-13,1.46069538510464e-13,2.49983549819514e-16,2.29810923696405e-17,2.32542837041406e-16,1.06789439154441e-18,1.84237219282058e-19,3.14550361344854e-17,1.00771940968158e-17,2.64313839953019e-18,1.03501815326772e-18,1.45969514880732e-14,1.45986245345076e-14,2.695230999494e-19,1.10836019795654e-19,8.53029931279253e-16,2.14996577149089e-11,1.99996811275504e-12,1.99996815952643e-11,1.63059826679074e-15,2.48904220257795e-15,1.46274258749027e-13,1.46306999452562e-13,3.42285090930008e-16,3.17318658129264e-17,3.18404735748849e-16,2.10379715554303e-18,3.29623500569507e-19,4.58004744296532e-17,1.46708557307349e-17,2.67032478788199e-18,1.0854076139383e-18,1.43543543225319e-14,1.43565316244875e-14,1.18731125508041e-19,3.6647993220842e-20
0.027,1.4e-17,300,1.31543441044962e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27285187704896e-17,2.14996956208653e-11,1.99997155944512e-12,1.99997168566184e-11,1.0952115410445e-15,2.89539342003833e-15,1.7025607510306e-13,1.70293515831674e-13,3.04379134993244e-16,2.79372686177766e-17,2.8314338138906e-16,1.16889053702204e-18,2.28090767480339e-19,4.6474808855041e-17,1.48927112927568e-17,4.81420919418784e-18,1.8283979710139e-18,1.71530655177156e-14,1.71558577786856e-14,3.27555302364167e-19,1.75730974118392e-19,1.00180838600484e-15,2.14995617725432e-11,1.99995917611357e-12,1.9999592346552e-11,1.55596200830851e-15,2.89394241781893e-15,1.70463672468367e-13,1.7051752550441e-13,4.38227456642515e-16,4.0607606045166e-17,4.07653448039554e-16,2.38743718398183e-18,4.22368004811111e-19,7.20152855773177e-17,2.30736139955269e-17,5.15747329881087e-18,2.01572157710258e-18,1.69194822656633e-14,1.69233106319765e-14,1.54829068124985e-19,6.14512870670358e-20
0.027,1.4e-17,360,1.69501362407071e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02530309526593e-16,2.14996461588942e-11,1.99996694069134e-12,1.99996708454824e-11,1.05952258789003e-15,3.23631368776072e-15,1.90967827287997e-13,1.91021464406277e-13,3.53841106142266e-16,3.24303453103004e-17,3.29154517341638e-16,1.26591565544682e-18,2.69873226892103e-19,6.20468259121979e-17,1.98871682441491e-17,7.49991351617864e-18,2.79653613553612e-18,1.93342103660179e-14,1.93383909180057e-14,3.80653274491141e-19,2.48310083580084e-19,1.1408280292413e-15,2.14994707594429e-11,1.999950698718e-12,1.9999507683203e-11,1.50707307912724e-15,3.23229663052594e-15,1.91154653378814e-13,1.91234219055586e-13,5.29240556883824e-16,4.90213672875486e-17,4.92316797101239e-16,2.65997365333101e-18,5.13527584087081e-19,1.01361734584613e-16,3.24834679332846e-17,8.44606193582942e-18,3.22088287457649e-18,1.91060396027052e-14,1.91119940074493e-14,1.89371400571898e-19,9.0543276932804e-20
0.027,1.4e-17,420,2.09362310900705e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11271174382272e-16,2.14996014932558e-11,1.99996276931177e-12,1.99996292960514e-11,1.03459774065873e-15,3.52078686108317e-15,2.08683965129404e-13,2.08755724596308e-13,3.98506744463651e-16,3.64771667509775e-17,3.70703948338272e-16,1.35589429908933e-18,3.08696326068452e-19,7.73142886521421e-17,2.4785781846087e-17,1.05020923548705e-17,3.87059738408574e-18,2.1197225272292e-14,2.12030240401255e-14,4.29075228981362e-19,3.24446259333268e-19,1.27067379728188e-15,2.14993849705636e-11,1.99994270786751e-12,1.99994278795945e-11,1.47291245613835e-15,3.51227424714835e-15,2.08848808898938e-13,2.08958005152832e-13,6.15029436021834e-16,5.69476406899085e-17,5.7212040560172e-16,2.91957808458529e-18,6.01556841607132e-19,1.32346032504898e-16,4.24219930442794e-17,1.23626573716984e-17,4.6389156121171e-18,2.09723540705007e-14,2.09808663866991e-14,2.22147736861979e-19,1.22344050936482e-19
0.027,1.4e-17,480,2.50514419333758e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19038222587664e-16,2.1499561387333e-11,1.99995902330775e-12,1.99995919882163e-11,1.01639937392787e-15,3.75671251209787e-15,2.23836285830905e-13,2.23927570999812e-13,4.38612667245121e-16,4.0102945476488e-17,4.08011783483826e-16,1.43788802044e-18,3.4398300253697e-19,9.17424212503826e-17,2.94167930029026e-17,1.36305904262784e-17,4.98493823767658e-18,2.27893139786717e-14,2.27969154441237e-14,4.72995393031735e-19,4.00751385669939e-19,1.39179410462314e-15,2.1499304437339e-11,1.99993520644617e-12,1.9999352964967e-11,1.4479654560736e-15,3.74137042402361e-15,2.23977508989509e-13,2.24119520071008e-13,6.95562660652359e-16,6.43850233286689e-17,6.47035033165002e-16,3.16522513997988e-18,6.85071874963673e-19,1.6379619009439e-16,5.25135234641518e-17,1.66977029972925e-17,6.19655460574514e-18,2.25663835829875e-14,2.25778281107064e-14,2.53085412468947e-19,1.55445077978794e-19
0.027,1.4e-17,540,2.92428579848377e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25920363673082e-16,2.1499525543101e-11,1.99995567500221e-12,1.99995586447445e-11,1.00267877961245e-15,3.95120273402057e-15,2.36794901655615e-13,2.36906626820294e-13,4.74456899319437e-16,4.33377081534714e-17,4.41355255180863e-16,1.51184716442203e-18,3.75490772093432e-19,1.05054011019208e-16,3.36909265977677e-17,1.67330523034476e-17,6.08705376953296e-18,2.41502633878629e-14,2.41598052031619e-14,5.12616315916684e-19,4.7467332240967e-19,1.50464414803231e-15,2.14992290570998e-11,1.99992818490339e-12,1.99992828438142e-11,1.42915844239507e-15,3.92647639564176e-15,2.36910819933376e-13,2.37088100101235e-13,7.7094289982631e-16,7.1344224568182e-17,7.17156185884956e-16,3.39664484174635e-18,7.63085217751897e-19,1.94876989641682e-16,6.24900631845874e-17,2.12489384983657e-17,7.82365432303477e-18,2.39283447387963e-14,2.39430312860419e-14,2.82185304190051e-19,1.8868672361766e-19
