q_V165,kprod_R2,time,blood.V165,blood.Mecm,blood.Mebm,blood.Mpbm,blood.R1,blood.R2,blood.N1,blood.N2,blood.Mecm_V165,blood.Mebm_V165,blood.Mpbm_V165,blood.R1_V165,blood.R2_V165,blood.N1_V165,blood.N2_V165,blood.R2_V165_N1,blood.R2_V165_N2,blood.R1_N1,blood.R1_N2,blood.Mebm_V165_R1,blood.Mebm_V165_R2,main.V165,main.Mecm,main.Mebm,main.Mpbm,main.R1,main.R2,main.N1,main.N2,main.Mecm_V165,main.Mebm_V165,main.Mpbm_V165,main.R1_V165,main.R2_V165,main.N1_V165,main.N2_V165,main.R2_V165_N1,main.R2_V165_N2,main.R1_N1,main.R1_N2,main.Mebm_V165_R1,main.Mebm_V165_R2,primary.V165,primary.Mecm,primary.Mebm,primary.Mpbm,primary.R1,primary.R2,primary.N1,primary.N2,primary.Mecm_V165,primary.Mebm_V165,primary.Mpbm_V165,primary.R1_V165,primary.R2_V165,primary.N1_V165,primary.N2_V165,primary.R2_V165_N1,primary.R2_V165_N2,primary.R1_N1,primary.R1_N2,primary.Mebm_V165_R1,primary.Mebm_V165_R2
0.027,1.4e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027,1.4e-17,60,1.51820541293152e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13917210970363e-17,2.14999413130246e-11,1.99999451869326e-12,1.99999454074647e-11,2.05179384893824e-15,7.77595371636217e-16,4.62997401876574e-14,4.63009125537567e-14,5.86869754305337e-17,5.42791641144174e-18,5.45925352842171e-17,7.6742661090546e-19,4.22472742096475e-20,1.78444775876082e-18,5.71120768763781e-19,2.93266175933799e-20,1.60628486862575e-20,3.69528587216562e-15,3.69534457625175e-15,5.00882624341496e-20,3.30205930303069e-21,2.94877442257639e-16,2.14999524439775e-11,1.99999557127475e-12,1.99999557618396e-11,2.84440220873195e-15,7.77626596669551e-16,4.66962767116415e-14,4.66973012370088e-14,4.75560224643994e-17,4.41688761674875e-18,4.42381604319995e-17,8.56822189942731e-19,4.31635359176417e-20,1.55413763439951e-18,4.9738134662801e-19,1.72809573892675e-20,9.81455178164788e-21,3.29899649889282e-15,3.29903851877197e-15,1.12139496815027e-20,6.23685546576798e-22
0.027,1.4e-17,120,4.02738595679907e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62065178002481e-17,2.14998733166683e-11,1.9999881563627e-12,1.99998821550402e-11,1.43003431165379e-15,1.44207493310443e-15,8.47187146048746e-14,8.47240636902276e-14,1.26683331706359e-16,1.16879283809796e-17,1.17844959726845e-16,8.96091312606406e-19,9.3307552348989e-20,7.91368128059564e-18,2.5337530408678e-18,3.14316690873235e-19,1.43868791723717e-19,8.04521173441224e-15,8.04553323731858e-15,1.34090430300341e-19,2.16184873881581e-20,4.77585460696879e-16,2.14998668435961e-11,1.99998759462371e-12,1.99998761335778e-11,2.01543332836889e-15,1.44221203567194e-15,8.50110843801224e-14,8.5016965856745e-14,1.33156403837737e-16,1.23574789573396e-17,1.23866422174639e-16,1.38625371681738e-18,1.31401393479471e-19,8.81057175498291e-18,2.82057255067687e-18,2.44632282918884e-19,1.18285284603794e-19,7.75207952521777e-15,7.75239730888838e-15,4.24786213973434e-20,5.41869907231018e-21
0.027,1.4e-17,180,7.15288912031144e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9629014800446e-17,2.14998093304771e-11,1.99998217752124e-12,1.99998226330019e-11,1.2419855749741e-15,2.00847795297288e-15,1.17754336459385e-13,1.17767220065197e-13,1.90669522861648e-16,1.75585424354316e-17,1.77366998010834e-16,9.71345930229126e-19,1.39258961313876e-19,1.81597680206185e-17,5.81619582360267e-18,1.13526578517268e-18,4.69335308367958e-19,1.15947112850626e-14,1.1595559897218e-14,2.05813677692315e-19,5.81226501206541e-20,6.21967451557429e-16,2.14997773417473e-11,1.999979256017e-12,1.99997928760442e-11,1.75688701042548e-15,2.00884468214713e-15,1.18008975354291e-13,1.18024355412595e-13,2.22658252609311e-16,2.06514108981597e-17,2.07123955915638e-16,1.64542827141877e-18,2.13310521035832e-19,2.23649728459455e-17,7.16201747401305e-18,9.78748203912946e-19,4.23580648248334e-19,1.13362587384248e-14,1.1337205280126e-14,7.61363807251715e-20,1.64357148473072e-20
0.027,1.4e-17,240,1.07731008808415e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17848237679713e-17,2.14997500162468e-11,1.99997663852952e-12,1.99997674569736e-11,1.14973254321292e-15,2.48931931725704e-15,1.4604584193065e-13,1.46069538501279e-13,2.49983753299539e-16,2.29811111458548e-17,2.32543026325152e-16,1.06789545106309e-18,1.84237424016416e-19,3.14550626886744e-17,1.00772026030842e-17,2.64314038468538e-18,1.03501896929406e-18,1.45969514859541e-14,1.45986245334285e-14,2.69523250807226e-19,1.10836087744271e-19,7.47016743016526e-16,2.14996926280917e-11,1.99997136474043e-12,1.99997140726436e-11,1.63062385672784e-15,2.4900018162781e-15,1.46279070443336e-13,1.46308461217384e-13,3.07371908214545e-16,2.84933732671465e-17,2.85927356478649e-16,1.86515800597297e-18,2.90499946702191e-19,4.10778073323623e-17,1.31580067201625e-17,2.40852697263073e-18,9.76077096323325e-19,1.43548528271992e-14,1.43568343514372e-14,1.08520171452856e-19,3.33661195400785e-20
0.027,1.4e-17,300,1.47848680139993e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27286776849309e-17,2.14996956205026e-11,1.99997155941129e-12,1.99997168562812e-11,1.09521154105337e-15,2.89539340108424e-15,1.70256075038262e-13,1.70293515810189e-13,3.04379497551214e-16,2.79373020218798e-17,2.83143718652291e-16,1.16889220419895e-18,2.28091117686941e-19,4.64748651852929e-17,1.48927293420841e-17,4.81421443450912e-18,1.82840003802807e-18,1.71530655135378e-14,1.71558577770384e-14,3.27555585076405e-19,1.75731134379629e-19,8.58151332021833e-16,2.14996147853551e-11,1.99996411399424e-12,1.99996416607957e-11,1.55597949535375e-15,2.8963183565828e-15,1.70473094764071e-13,1.70520524616831e-13,3.85214644857707e-16,3.56924583867413e-17,3.58339204518803e-16,2.06875799971948e-18,3.64525317949062e-19,6.33008775356785e-17,2.02812504386781e-17,4.56236661541714e-18,1.77797271733494e-18,1.69203130420345e-14,1.6923733577589e-14,1.3866242252824e-19,5.48849405742312e-20
0.027,1.4e-17,360,1.90971789614017e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02530538324615e-16,2.14996461583216e-11,1.99996694063792e-12,1.999967084495e-11,1.05952258798874e-15,3.23631364383894e-15,1.90967827164225e-13,1.91021464364328e-13,3.53841678586293e-16,3.24303979775722e-17,3.29155049847712e-16,1.26591806521548e-18,2.69873764595728e-19,6.20469269295472e-17,1.98872006199213e-17,7.49992455390326e-18,2.7965403773513e-18,1.93342103587243e-14,1.93383909158353e-14,3.80653739080999e-19,2.48310395820867e-19,9.57417256376943e-16,2.14995441034769e-11,1.99995753036225e-12,1.99995759102115e-11,1.50707826593018e-15,3.23716709031818e-15,1.9117060899047e-13,1.91239451486765e-13,4.55896523000573e-16,4.22239524278548e-17,4.24089788837748e-16,2.25688920436231e-18,4.34867765606091e-19,8.74042356889078e-17,2.80098270555529e-17,7.33600948897224e-18,2.78988837975879e-18,1.91072994305211e-14,1.91125280766755e-14,1.66287129880458e-19,7.93981785891798e-20
0.027,1.4e-17,420,2.36297567584768e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11271484521977e-16,2.14996014924231e-11,1.99996276923405e-12,1.99996292952769e-11,1.03459774089219e-15,3.52078677393685e-15,2.08683964918866e-13,2.08755724523806e-13,3.98507577120893e-16,3.64772432605408e-17,3.7070472290315e-16,1.35589758139061e-18,3.08697092202493e-19,7.73144503027297e-17,2.4785833666365e-17,1.05021122938019e-17,3.87060491582686e-18,2.11972252606184e-14,2.12030240375922e-14,4.29075927150771e-19,3.24446793354454e-19,1.04603661774516e-15,2.14994803398161e-11,1.99995159107839e-12,1.99995165951781e-11,1.4729013064544e-15,3.52100244106236e-15,2.08873294923504e-13,2.08966204648362e-13,5.19660183822259e-16,4.81121281194595e-17,4.83404822160247e-16,2.42878343345723e-18,5.00560991300455e-19,1.12031141451616e-16,3.59089651212776e-17,1.05524619812598e-17,3.94942106272104e-18,2.09741414883779e-14,2.09814939797177e-14,1.91378163507858e-19,1.05415308167559e-19
0.027,1.4e-17,480,2.83124435852015e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19038624656762e-16,2.14995613861916e-11,1.99995902320121e-12,1.99995919871547e-11,1.01639937434547e-15,3.75671235791457e-15,2.23836285501722e-13,2.23927570885055e-13,4.38613808635399e-16,4.01030502336481e-17,4.08012845242224e-16,1.43789229797158e-18,3.43984035311356e-19,9.17426596508167e-17,2.94168694431324e-17,1.36306226860642e-17,4.98495027958274e-18,2.2789313961177e-14,2.27969154415008e-14,4.72996376416736e-19,4.0075221682702e-19,1.12501860715468e-15,2.1499423071108e-11,1.99994625667771e-12,1.99994633219613e-11,1.44793416074874e-15,3.75552257385634e-15,2.24012503767003e-13,2.24131422139438e-13,5.7692889186399e-16,5.33975859775229e-17,5.36678038943253e-16,2.58448121944449e-18,5.60810462302196e-19,1.3618375156268e-16,4.36586100579635e-17,1.40173735147953e-17,5.18921629846089e-18,2.25687954449442e-14,2.25785256036295e-14,2.14034310422638e-19,1.31701981128664e-19
0.027,1.4e-17,540,3.30846218859567e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25920867302857e-16,2.1499525541605e-11,1.99995567486256e-12,1.99995586433532e-11,1.00267878026683e-15,3.95120248409718e-15,2.36794901172858e-13,2.36906626650352e-13,4.74458395217316e-16,4.33378453076636e-17,4.41356646713776e-16,1.51185255108377e-18,3.75492105916651e-19,1.05054341856172e-16,3.36910326978967e-17,1.6733100384767e-17,6.08707156508875e-18,2.41502633629667e-14,2.41598052008247e-14,5.12617634750839e-19,4.74674527264204e-19,1.19529377173166e-15,2.14993718076356e-11,1.99994148155712e-12,1.99994156350102e-11,1.42910348257157e-15,3.94772436695014e-15,2.36958209019519e-13,2.37104412591209e-13,6.28192364300488e-16,5.81267166256023e-17,5.84364990046976e-16,2.72467651842866e-18,6.15172879683201e-19,1.59206548160746e-16,5.10482349729672e-17,1.75557451357831e-17,6.44907027964808e-18,2.39314733144368e-14,2.39437712969933e-14,2.34406987618647e-19,1.57319255288893e-19
