q_V165,kprod_R2,time,blood.V165,blood.Mecm,blood.Mebm,blood.Mpbm,blood.R1,blood.R2,blood.N1,blood.N2,blood.Mecm_V165,blood.Mebm_V165,blood.Mpbm_V165,blood.R1_V165,blood.R2_V165,blood.N1_V165,blood.N2_V165,blood.R2_V165_N1,blood.R2_V165_N2,blood.R1_N1,blood.R1_N2,blood.Mebm_V165_R1,blood.Mebm_V165_R2,main.V165,main.Mecm,main.Mebm,main.Mpbm,main.R1,main.R2,main.N1,main.N2,main.Mecm_V165,main.Mebm_V165,main.Mpbm_V165,main.R1_V165,main.R2_V165,main.N1_V165,main.N2_V165,main.R2_V165_N1,main.R2_V165_N2,main.R1_N1,main.R1_N2,main.Mebm_V165_R1,main.Mebm_V165_R2,primary.V165,primary.Mecm,primary.Mebm,primary.Mpbm,primary.R1,primary.R2,primary.N1,primary.N2,primary.Mecm_V165,primary.Mebm_V165,primary.Mpbm_V165,primary.R1_V165,primary.R2_V165,primary.N1_V165,primary.N2_V165,primary.R2_V165_N1,primary.R2_V165_N2,primary.R1_N1,primary.R1_N2,primary.Mebm_V165_R1,primary.Mebm_V165_R2
0,1.4e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.4e-17,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,2.0521265852728e-15,7.77728780955747e-16,4.63009887554173e-14,4.63009887554173e-14,0,0,0,0,0,0,0,0,0,3.69586144888063e-15,3.69586144888063e-15,0,0,0,2.15e-11,2e-12,2e-11,2.84492052745223e-15,7.77728780955747e-16,4.66973857265071e-14,4.66973857265071e-14,0,0,0,0,0,0,0,0,0,3.29946447779091e-15,3.29946447779091e-15,0,0
0,1.4e-17,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,1.43021379920772e-15,1.44312603516794e-15,8.47256582325948e-14,8.47256582325948e-14,0,0,0,0,0,0,0,0,0,8.04672974248723e-15,8.04672974248723e-15,0,0,0,2.15e-11,2e-12,2e-11,2.01584236061572e-15,1.44312603516794e-15,8.50184725132992e-14,8.50184725132992e-14,0,0,0,0,0,0,0,0,0,7.75391546178324e-15,7.75391546178324e-15,0,0
0,1.4e-17,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,1.24209464669594e-15,2.0124164076605e-15,1.17772431055013e-13,1.17772431055013e-13,0,0,0,0,0,0,0,0,0,1.15971951517337e-14,1.15971951517337e-14,0,0,0,2.15e-11,2e-12,2e-11,1.75719879146876e-15,2.0124164076605e-15,1.18029983127399e-13,1.18029983127399e-13,0,0,0,0,0,0,0,0,0,1.13396430793472e-14,1.13396430793472e-14,0,0
0,1.4e-17,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,1.14978284477902e-15,2.49948112901481e-15,1.46080400004322e-13,1.46080400004322e-13,0,0,0,0,0,0,0,0,0,1.46005297180576e-14,1.46005297180576e-14,0,0,0,2.15e-11,2e-12,2e-11,1.63084585182699e-15,2.49948112901481e-15,1.46320931507847e-13,1.46320931507847e-13,0,0,0,0,0,0,0,0,0,1.43599982145336e-14,1.43599982145336e-14,0,0
0,1.4e-17,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,1.09520506996863e-15,2.91619648948942e-15,1.70311898173118e-13,1.70311898173118e-13,0,0,0,0,0,0,0,0,0,1.71578761512014e-14,1.71578761512014e-14,0,0,0,2.15e-11,2e-12,2e-11,1.55611040580151e-15,2.91619648948942e-15,1.70542350841036e-13,1.70542350841036e-13,0,0,0,0,0,0,0,0,0,1.69274234832849e-14,1.69274234832849e-14,0,0
0,1.4e-17,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,1.05945917800186e-15,3.27272342326658e-15,1.91048986014877e-13,1.91048986014877e-13,0,0,0,0,0,0,0,0,0,1.93403769094033e-14,1.93403769094033e-14,0,0,0,2.15e-11,2e-12,2e-11,1.50711523458004e-15,3.27272342326658e-15,1.91272814043166e-13,1.91272814043166e-13,0,0,0,0,0,0,0,0,0,1.91165488811142e-14,1.91165488811142e-14,0,0
0,1.4e-17,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,1.03447689337659e-15,3.57775526649833e-15,2.08793705746412e-13,2.08793705746412e-13,0,0,0,0,0,0,0,0,0,2.12048470999087e-14,2.12048470999087e-14,0,0,0,2.15e-11,2e-12,2e-11,1.472841822674e-15,3.57775526649833e-15,2.09012888211061e-13,2.09012888211061e-13,0,0,0,0,0,0,0,0,0,2.098566463526e-14,2.098566463526e-14,0,0
0,1.4e-17,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,1.01622084750235e-15,3.8387297303337e-15,2.23977019725318e-13,2.23977019725318e-13,0,0,0,0,0,0,0,0,0,2.27984629389889e-14,2.27984629389889e-14,0,0,0,2.15e-11,2e-12,2e-11,1.44777665421117e-15,3.8387297303337e-15,2.24192797628673e-13,2.24192797628673e-13,0,0,0,0,0,0,0,0,0,2.25826850356346e-14,2.25826850356346e-14,0,0
0,1.4e-17,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,1.0024427848705e-15,4.06201025754881e-15,2.36968247099738e-13,2.36968247099738e-13,0,0,0,0,0,0,0,0,0,2.41609837426822e-14,2.41609837426822e-14,0,0,0,2.15e-11,2e-12,2e-11,1.42884746776848e-15,4.06201025754881e-15,2.37181449441188e-13,2.37181449441188e-13,0,0,0,0,0,0,0,0,0,2.39477814012333e-14,2.39477814012333e-14,0,0
0,1.4e-17,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,9.9178985569334e-16,4.25304118486936e-15,2.48083649618454e-13,2.48083649618454e-13,0,0,0,0,0,0,0,0,0,2.53261408374314e-14,2.53261408374314e-14,0,0,0,2.15e-11,2e-12,2e-11,1.41420404519836e-15,4.25304118486936e-15,2.48294856713206e-13,2.48294856713206e-13,0,0,0,0,0,0,0,0,0,2.51149337426789e-14,2.51149337426789e-14,0,0
0,1.4e-17,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,9.833985424495e-16,4.41648049436982e-15,2.57593956622037e-13,2.57593956622037e-13,0,0,0,0,0,0,0,0,0,2.63226465874489e-14,2.63226465874489e-14,0,0,0,2.15e-11,2e-12,2e-11,1.40266440463156e-15,4.41648049436982e-15,2.57803589553127e-13,2.57803589553127e-13,0,0,0,0,0,0,0,0,0,2.61130136563579e-14,2.61130136563579e-14,0,0
0,1.4e-17,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,9.76691452999074e-16,4.55631339087852e-15,2.65730875266929e-13,2.65730875266929e-13,0,0,0,0,0,0,0,0,0,2.71749855752628e-14,2.71749855752628e-14,0,0,0,2.15e-11,2e-12,2e-11,1.39343758315901e-15,4.55631339087852e-15,2.65939248332005e-13,2.65939248332005e-13,0,0,0,0,0,0,0,0,0,2.69666125101827e-14,2.69666125101827e-14,0,0
0,1.4e-17,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,9.71267751398615e-16,4.67594947479116e-15,2.72692692586757e-13,2.72692692586757e-13,0,0,0,0,0,0,0,0,0,2.79040593641041e-14,2.79040593641041e-14,0,0,0,2.15e-11,2e-12,2e-11,1.38597408029572e-15,4.67594947479116e-15,2.72900045751203e-13,2.72900045751203e-13,0,0,0,0,0,0,0,0,0,2.76967061996554e-14,2.76967061996554e-14,0,0
0,1.4e-17,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,9.66840445252729e-16,4.77830587969521e-15,2.78649083933455e-13,2.78649083933455e-13,0,0,0,0,0,0,0,0,0,2.85277226183803e-14,2.85277226183803e-14,0,0,0,2.15e-11,2e-12,2e-11,1.37988020389443e-15,4.77830587969521e-15,2.78855603812773e-13,2.78855603812773e-13,0,0,0,0,0,0,0,0,0,2.83212027390591e-14,2.83212027390591e-14,0,0
