q_V165,time,blood.V165,blood.Mecm,blood.Mebm,blood.Mpbm,blood.R1,blood.R2,blood.N1,blood.N2,blood.Mecm_V165,blood.Mebm_V165,blood.Mpbm_V165,blood.R1_V165,blood.R2_V165,blood.N1_V165,blood.N2_V165,blood.R2_V165_N1,blood.R2_V165_N2,blood.R1_N1,blood.R1_N2,blood.Mebm_V165_R1,blood.Mebm_V165_R2,main.V165,main.Mecm,main.Mebm,main.Mpbm,main.R1,main.R2,main.N1,main.N2,main.Mecm_V165,main.Mebm_V165,main.Mpbm_V165,main.R1_V165,main.R2_V165,main.N1_V165,main.N2_V165,main.R2_V165_N1,main.R2_V165_N2,main.R1_N1,main.R1_N2,main.Mebm_V165_R1,main.Mebm_V165_R2,primary.V165,primary.Mecm,primary.Mebm,primary.Mpbm,primary.R1,primary.R2,primary.N1,primary.N2,primary.Mecm_V165,primary.Mebm_V165,primary.Mpbm_V165,primary.R1_V165,primary.R2_V165,primary.N1_V165,primary.N2_V165,primary.R2_V165_N1,primary.R2_V165_N2,primary.R1_N1,primary.R1_N2,primary.Mebm_V165_R1,primary.Mebm_V165_R2
0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15e-11,2e-12,2e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027,60,1.88518102170266e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50803073307499e-17,2.1499933880981e-11,1.9999935074592e-12,1.99999384939358e-11,2.05180143309726e-15,7.77600134380522e-14,4.62982577210423e-14,4.6299514137224e-14,6.61190189504463e-17,5.34797079537302e-18,6.150606413995e-17,8.07442619374584e-19,4.30056343172278e-18,6.28467201570609e-19,2.05674510317065e-19,1.96775743610046e-18,1.34457580849997e-18,3.69516111091814e-15,3.69522798450178e-15,1.56113652093404e-19,9.884563635183e-19,1.33903550266827e-16,2.14999730848947e-11,1.99999748205845e-12,1.99999749626927e-11,2.84466631207524e-15,7.77677610465651e-14,4.66963384477242e-14,4.66968898481757e-14,2.69151053354727e-17,2.47319802341327e-18,2.50373072888117e-17,4.58386601683598e-19,2.17861649533467e-18,3.73116756706614e-19,1.21163801822602e-19,6.92900249416741e-19,4.60088201542943e-19,3.29917987901458e-15,3.29920490258694e-15,6.98125603523872e-21,3.77622684356731e-20
0.027,120,4.29876528316224e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75574626932051e-17,2.14998779726946e-11,1.99998744371982e-12,1.99998864862275e-11,1.43020497885627e-15,1.44255353125027e-13,8.47080054313296e-14,8.47130515614509e-14,1.22027305367211e-16,7.49403795782188e-18,1.13513772434614e-16,8.25632586040555e-19,8.04970787261036e-18,8.0648578214985e-19,2.76802383364529e-19,9.21506289904269e-18,6.93018106051289e-18,8.04505294929388e-15,8.04537330039303e-15,3.30871581170783e-19,4.7313706512627e-18,1.46937764213637e-16,2.14999470679672e-11,1.99999501876815e-12,1.99999507608997e-11,2.01577535300137e-15,1.442893012668e-13,8.50116342354623e-14,8.5013879118035e-14,5.29320328318194e-17,4.72819650991043e-18,4.9239100308669e-17,5.04451176958048e-19,4.26174332119354e-18,4.97899562632933e-19,1.68906770624696e-19,3.62046460968606e-18,2.62860280690243e-18,7.7530727910558e-15,7.75321101402847e-15,1.95722438902938e-20,2.3346309165919e-19
0.027,180,6.8024824376174e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8735513551648e-17,2.14998384074346e-11,1.99998292325904e-12,1.99998496813345e-11,1.24230439027005e-15,2.01113722053647e-13,1.17726187390826e-13,1.17737145291448e-13,1.61592565352169e-16,7.41164325629381e-18,1.50318665443877e-16,7.89795385734654e-19,1.00369945548318e-17,8.84925640375975e-19,3.1253420123593e-19,1.80629757687641e-17,1.41066278679096e-17,1.15946896906712e-14,1.15954574239035e-14,4.03375772195862e-19,9.26172194793905e-18,1.50859609051796e-16,2.14999309682848e-11,1.99999348104122e-12,1.99999357844509e-11,1.75725802212489e-15,2.01190742450642e-13,1.18012352423581e-13,1.18017080333541e-13,6.90317152806375e-17,5.94443784530432e-18,6.42155490982672e-17,4.52909785469266e-19,5.18802086723623e-18,5.25237401958236e-19,1.83205791028559e-19,6.89249163550984e-18,5.22714164561405e-18,1.13383650242968e-14,1.13386945376074e-14,2.73699011331758e-20,5.47151019043732e-19
0.027,240,9.24103290660837e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90867704494284e-17,2.14998131161063e-11,1.99997992240019e-12,1.99998261545174e-11,1.1501829345784e-15,2.49732822613828e-13,1.45995473177484e-13,1.46013725573774e-13,1.86883893696725e-16,6.71733829838233e-18,1.73845482508581e-16,7.57260634884321e-19,1.10195942035475e-17,9.14963871886255e-19,3.28620908548732e-19,2.6248762103988e-17,2.08550002379428e-17,1.45972521174941e-14,1.45986341047924e-14,4.16934097402482e-19,1.29433274246207e-17,1.52012886801041e-16,2.14999215339071e-11,1.99999257375182e-12,1.99999270082856e-11,1.63100831112719e-15,2.49863487805282e-13,1.46288953796396e-13,1.46296670000899e-13,7.8466092987958e-17,6.49958575267582e-18,7.29917144074024e-17,4.18463943725157e-19,5.68094305573054e-18,5.36345173454623e-19,1.89988864183101e-19,9.85326245930762e-18,7.62694967574591e-18,1.43583362474065e-14,1.43589194005766e-14,3.13967039661723e-20,8.95265711350315e-19
0.027,300,1.15284084222998e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89337080085269e-17,2.14997989639177e-11,1.99997816898861e-12,1.99998129896909e-11,1.09577233943916e-15,2.91309176710195e-13,1.70182503411922e-13,1.7020871005034e-13,2.01036082227465e-16,6.00847745109904e-18,1.87010309048804e-16,7.20903458472008e-19,1.13971594393562e-17,9.15681690394124e-19,3.32330448647272e-19,3.29007869862792e-17,2.63801221408105e-17,1.71538787735871e-14,1.71559885899023e-14,4.03053952949334e-19,1.54194799994247e-17,1.51755920493432e-16,2.14999162748995e-11,1.99999206405872e-12,1.99999221161856e-11,1.55636336810315e-15,2.91497817370295e-13,1.70493767216674e-13,1.70504749048027e-13,8.37251005203619e-17,6.68320314415392e-18,7.78838144375457e-17,3.95996047216096e-19,5.95953306723171e-18,5.39707460380964e-19,1.93015388326012e-19,1.23859022687176e-17,9.69711111826177e-18,1.69254117415862e-14,1.69262913967278e-14,3.30751458988045e-20,1.21966297253113e-18
0.027,360,1.36214047629643e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84915160993964e-17,2.14997928847391e-11,1.9999773461434e-12,1.99998073346411e-11,1.06017120191752e-15,3.26865794659219e-13,1.9087310542479e-13,1.9090734710404e-13,2.07115260823533e-16,5.39785113089939e-18,1.92665358905612e-16,6.82035454002998e-19,1.14179003664658e-17,8.99316652748481e-19,3.28607515082403e-19,3.78909672000965e-17,3.05447281976729e-17,1.9335720777155e-14,1.93386151415413e-14,3.78500242088366e-19,1.68775052432186e-17,1.50793386645374e-16,2.14999135725422e-11,1.99999179909424e-12,1.99999196023648e-11,1.50744908084948e-15,3.27111874117617e-13,1.91206426874978e-13,1.91220778630331e-13,8.64274578943678e-17,6.6743261113924e-18,8.03976352505749e-17,3.79657786074441e-19,6.11745011723517e-18,5.39062659076697e-19,1.94015193077449e-19,1.44978182168855e-17,1.14314807378223e-17,1.91142166525395e-14,1.91154175638337e-14,3.33863766808216e-20,1.49319326246113e-18
0.027,420,1.55040173232112e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79021342991299e-17,2.14997923026118e-11,1.99997716987312e-12,1.99998067931273e-11,1.0353123022462e-15,3.5727687313944e-13,2.0857214210419e-13,2.08614090389958e-13,2.0769738815429e-16,4.88542205995858e-18,1.93206872701665e-16,6.43338454467378e-19,1.12373082425485e-17,8.73854780003724e-19,3.20751428568482e-19,4.14131482533398e-17,3.3496882786113e-17,2.11996020506356e-14,2.12032885695309e-14,3.51211939301808e-19,1.75934929057417e-17,1.49527226142474e-16,2.14999123980748e-11,1.9999916811195e-12,1.99999185098371e-11,1.47324840854332e-15,3.57576478352536e-13,2.08928309725582e-13,2.08946011872004e-13,8.76019252647209e-17,6.57568048356389e-18,8.14901630369496e-17,3.66877540444079e-19,6.20482192273453e-18,5.36436030363397e-19,1.93928798180443e-19,1.62392786645714e-17,1.28658240253305e-17,2.09830394592635e-14,2.09845715107938e-14,3.2960601749144e-20,1.71023940896947e-18
0.027,480,1.71770542613083e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72568650583491e-17,2.14997952214115e-11,1.99997741314508e-12,1.99998095082899e-11,1.01715995634513e-15,3.83289246340607e-13,2.23712456834716e-13,2.23761526510117e-13,2.04778588378327e-16,4.45689745893265e-18,1.90491710119375e-16,6.06708939078576e-19,1.09525346464999e-17,8.44423970495691e-19,3.10904991119273e-19,4.37608363279731e-17,3.54746740371172e-17,2.27927038586698e-14,2.2797153058429e-14,3.24733291020099e-19,1.78052241981994e-17,1.48181957028331e-16,2.1499912107449e-11,1.99999164865937e-12,1.99999182394876e-11,1.44824880654273e-15,3.83636423777048e-13,2.24090225088312e-13,2.24111173839929e-13,8.78925510310469e-17,6.44287985129743e-18,8.17605125870205e-17,3.56518819686917e-19,6.2505143257345e-18,5.32956863253432e-19,1.93289424151727e-19,1.7670576782203e-17,1.40469688917916e-17,2.25797933255495e-14,2.25816551252391e-14,3.21861051861523e-20,1.87627467297941e-18
0.027,540,1.86511525911231e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66121159055523e-17,2.14998001781747e-11,1.99997790660251e-12,1.99998141192323e-11,1.00346798929787e-15,4.05540895805413e-13,2.36664469143174e-13,2.36719938620633e-13,1.99821825270645e-16,4.09887663689559e-18,1.85880767693625e-16,5.73180659385715e-19,1.06237016948702e-17,8.14212268752366e-19,3.00416549789619e-19,4.52257975784941e-17,3.67178488735368e-17,2.41547861594205e-14,2.41599437714855e-14,3.00529677089912e-19,1.76939912048941e-17,1.4687736013835e-16,2.14999123037337e-11,1.99999166366939e-12,1.9999918422078e-11,1.42937877889287e-15,4.05928720237453e-13,2.3706148249464e-13,2.37085519815054e-13,8.76962663405102e-17,6.30429866825704e-18,8.15779221772191e-17,3.47988716115854e-19,6.2716649348384e-18,5.29248277682609e-19,1.92401031226862e-19,1.88482564561898e-17,1.5020062128178e-17,2.39446483601746e-14,2.39468304909637e-14,3.12902039299062e-20,2.00074172281439e-18
