compartment,time,V165,Mecm,Mebm,Mpbm,R1,R2,N1,N2,Mecm_V165,Mebm_V165,Mpbm_V165,R1_V165,R2_V165,N1_V165,N2_V165,R2_V165_N1,R2_V165_N2,R1_N1,R1_N2,Mebm_V165_R1,Mebm_V165_R2
blood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,60,1.40462572971902e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,120,3.65157726149804e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,180,6.42195010990093e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,240,9.61871142359954e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,300,1.31543441044962e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,360,1.69501362407071e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,420,2.09362310900705e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,480,2.50514419333758e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,540,2.92428579848377e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,600,3.34652987573272e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,660,3.76806724387539e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,720,4.18572862645279e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,780,4.59691470148802e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,840,4.99952796089831e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,900,5.39190826561464e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,960,5.77277323955606e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1020,6.14116408145904e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1080,6.49639696931598e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1140,6.83801995789658e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1200,7.16577509487795e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1260,7.47956537881169e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1320,7.77942613113512e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1380,8.06550033840177e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1440,8.33801752786133e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1500,8.59727576083127e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1560,8.84362635790115e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1620,9.0774610037115e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1680,9.29920091404182e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1740,9.50928778239808e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1800,9.70817625607268e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1860,9.89632772210686e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1920,1.00742052113958e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1980,1.02422692542383e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2040,1.04009745429898e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2100,1.05507672772579e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2160,1.06920830844753e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2220,1.08253454238843e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2280,1.0950964395215e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2340,1.10693358848179e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2400,1.11808409919396e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2460,1.12858456863952e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2520,1.13847006562514e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2580,1.1477741310464e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2640,1.15652879068262e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2700,1.16476457802248e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2760,1.17251056501595e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2820,1.17979439898615e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2880,1.18664234422231e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2940,1.19307932702023e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3000,1.1991289831445e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3060,1.20481370686348e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3120,1.21015470085764e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3180,1.21517202642853e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3240,1.21988465354272e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3300,1.22431051033523e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3360,1.22846653177303e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3420,1.2323687072431e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3480,1.23603212688288e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3540,1.23947102651612e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3600,1.24269883109389e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3660,1.24572819657192e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3720,1.24857105018096e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3780,1.25123862906782e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3840,1.25374151730208e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3900,1.25608968125766e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,3960,1.25829250338919e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,4020,1.26035881443288e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,4080,1.26229692406788e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,4140,1.26411465007999e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,4200,1.26581934607365e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,4260,1.26741792778076e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,4320,1.26891689801736e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,4380,1.27032237033993e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,4440,1.27164009145413e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,4500,1.27287546242847e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,4560,1.27403355876531e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
