compartment,time,V165,Mecm,Mebm,Mpbm,R1,R2,N1,N2,Mecm_V165,Mebm_V165,Mpbm_V165,R1_V165,R2_V165,N1_V165,N2_V165,R2_V165_N1,R2_V165_N2,R1_N1,R1_N2,Mebm_V165_R1,Mebm_V165_R2
blood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,60,1.40580981749314e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,120,3.65613873910106e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,180,6.43179757997577e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,240,9.63544551135397e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,300,1.3179255805047e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,360,1.698422143876e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,420,2.09802151949944e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,480,2.51058100358236e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,540,2.93078872010049e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,600,3.35410904534955e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,660,3.77671828239731e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,720,4.19543544361529e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,780,4.60765199784432e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,840,5.01126341043257e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,900,5.40460438337575e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,960,5.78638895235327e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1020,6.15565602764255e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1080,6.51172055753067e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1140,6.8541302156927e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1200,7.1826273371602e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1260,7.49711572404525e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1320,7.79763189053639e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1380,8.08432030039626e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1440,8.35741215713934e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1500,8.61720732852822e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1560,8.86405901686006e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1620,9.0983608204927e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1680,9.32053586733906e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1740,9.53102773579205e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1800,9.73029291158206e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,1860,9.91879455975957e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
